"RV56: DEATHS by Year, Cause of death by ICD-10, Sex and Age group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age groups total,0,1,2,3,4,0-4,1-4,5-9,10-14,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,15-49,50-54,55-59,60-64,15-64,65 and older,65-69,70-74,75-79,80-84,85 and older,85-89,90-94,95-99,100 and older,Age unknown
,,Males,57,0,0,0,1,0,1,1,1,1,3,1,0,1,2,1,0,4,9,6,5,2,22,32,14,9,4,2,3,..,..,..,..,0
,,Females,58,0,0,2,0,1,3,3,3,0,6,0,0,1,0,1,1,3,6,2,3,10,21,31,2,15,5,6,3,..,..,..,..,0
,"Endocrine, nutritional and metabolic diseases (E00-E90)",Males and females,144,2,1,0,0,0,3,1,1,0,4,0,0,2,1,10,6,7,26,15,20,26,87,53,16,17,6,11,3,..,..,..,..,0
,,Males,58,2,1,0,0,0,3,1,0,0,3,0,0,2,1,6,5,7,21,9,7,5,42,13,3,6,1,3,0,..,..,..,..,0
,,Females,86,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,5,6,13,21,45,40,13,11,5,8,3,..,..,..,..,0
,..diabetes mellitus (E10-E14),Males and females,121,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,5,7,24,12,19,20,75,46,11,16,6,11,2,..,..,..,..,0
,,Males,52,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,5,7,21,8,7,4,40,12,3,5,1,3,0,..,..,..,..,0
,,Females,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,12,16,35,34,8,11,5,8,2,..,..,..,..,0
,Diseases of the blood and blood-forming organs (D50-D89),Males and females,21,1,0,0,0,1,2,1,0,0,2,2,1,0,0,1,1,0,5,0,0,2,7,12,5,3,0,2,2,..,..,..,..,0
,,Males,11,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,4,0,0,1,5,5,3,2,0,0,0,..,..,..,..,0
,,Females,10,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,7,2,1,0,2,2,..,..,..,..,0
,..anaemia (D50-D64),Males and females,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,0,0,1,5,5,1,1,0,1,2,..,..,..,..,0
,,Males,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,1,4,1,0,1,0,0,0,..,..,..,..,0
,,Females,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,1,0,0,1,2,..,..,..,..,0
,"Mental, behavioural disorders (F00-F99)",Males and females,31,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,11,11,3,2,27,3,0,1,2,0,0,..,..,..,..,1
,,Males,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,8,9,2,1,20,2,0,1,1,0,0,..,..,..,..,0
,,Females,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,1,1,7,1,0,0,1,0,0,..,..,..,..,1
,..mental and behavioural disorders due to use of alcohol (F10),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"..drug dependence and toxicomania (F11-F16, F18, F19)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the nervous system and sense organs (G00-H95),Males and females,158,4,1,1,3,0,9,5,2,3,14,4,5,5,5,7,13,14,53,16,11,17,97,47,22,17,5,1,2,..,..,..,..,0
,,Males,89,2,0,0,2,0,4,2,2,3,9,2,4,4,2,5,7,7,31,12,5,13,61,19,12,5,0,1,1,..,..,..,..,0
,,Females,69,2,1,1,1,0,5,3,0,0,5,2,1,1,3,2,6,7,22,4,6,4,36,28,10,12,5,0,1,..,..,..,..,0
,..meningitis (G00-G03),Males and females,13,1,0,0,1,0,2,1,0,0,2,1,0,0,0,1,0,2,4,2,0,0,6,5,3,1,1,0,0,..,..,..,..,0
,,Males,10,1,0,0,1,0,2,1,0,0,2,0,0,0,0,1,0,2,3,2,0,0,5,3,2,1,0,0,0,..,..,..,..,0
,,Females,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,..,..,..,..,0
,Diseases of the circulatory system (I00-I99),Males and females,12022,1,2,0,1,0,4,3,1,2,7,0,8,13,29,68,131,233,482,409,674,1061,2626,9379,1384,1368,1626,2261,2740,..,..,..,..,10
,,Males,5134,0,1,0,0,0,1,1,0,1,2,0,5,9,24,52,106,183,379,311,484,723,1897,3227,769,580,615,681,582,..,..,..,..,8
,,Females,6888,1,1,0,1,0,3,2,1,1,5,0,3,4,5,16,25,50,103,98,190,338,729,6152,615,788,1011,1580,2158,..,..,..,..,2
,..chronic rheumatic heart diseases (I05-I09),Males and females,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,11,10,19,29,69,23,15,3,0,5,0,..,..,..,..,0
,,Males,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,6,9,11,31,6,3,2,0,1,0,..,..,..,..,0
,,Females,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,4,10,18,38,17,12,1,0,4,0,..,..,..,..,0
,..hypertensive diseases (I10-I15),Males and females,134,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,9,23,10,16,21,70,64,23,20,4,11,6,..,..,..,..,0
,,Males,74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4,7,19,6,12,15,52,22,11,6,0,5,0,..,..,..,..,0
,,Females,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,6,18,42,12,14,4,6,6,..,..,..,..,0
,..ischaemic heart diseases (I20-I25),Males and females,7365,0,0,0,0,0,0,0,0,0,0,0,3,3,16,32,79,133,266,235,390,649,1540,5817,799,802,980,1409,1827,..,..,..,..,8
,,Males,3302,0,0,0,0,0,0,0,0,0,0,0,2,2,13,25,70,116,228,196,310,480,1214,2082,471,376,393,442,400,..,..,..,..,6
,,Females,4063,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,9,17,38,39,80,169,326,3735,328,426,587,967,1427,..,..,..,..,2
,..acute myocardial infarction (I21-I22),Males and females,673,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,17,25,54,46,72,96,268,405,116,100,82,67,40,..,..,..,..,0
,,Males,400,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,16,20,47,42,58,61,208,192,69,51,40,23,9,..,..,..,..,0
,,Females,273,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,7,4,14,35,60,213,47,49,42,44,31,..,..,..,..,0
,"..other cardiovascular diseases (except rheumatic heart and valvular diseases) (I30-I33, I39-I52)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..cerebrovascular diseases (I60-I69),Males and females,3874,0,0,0,0,0,0,0,0,1,1,0,2,4,7,15,23,45,96,108,176,301,681,3192,477,491,597,784,843,..,..,..,..,0
,,Males,1386,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,14,28,63,65,102,170,400,986,231,171,202,211,171,..,..,..,..,0
,,Females,2488,0,0,0,0,0,0,0,0,1,1,0,1,1,1,4,9,17,33,43,74,131,281,2206,246,320,395,573,672,..,..,..,..,0
,"Diseases of the respiratory system (J00-J99, U07)",Males and females,530,26,1,0,1,1,29,3,2,3,34,1,7,6,8,15,20,22,79,39,48,72,238,251,62,58,53,42,36,..,..,..,..,7
,,Males,361,18,1,0,1,0,20,2,1,1,22,0,6,3,5,12,15,15,56,34,36,58,184,148,44,45,25,22,12,..,..,..,..,7
,,Females,169,8,0,0,0,1,9,1,1,2,12,1,1,3,3,3,5,7,23,5,12,14,54,103,18,13,28,20,24,..,..,..,..,0
,..COVID-19 (U07),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..influenza (J10-J11),Males and females,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,..,..,..,..,0
,,Males,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,0,..,..,..,..,0
,..pneumonia (J12-J18),Males and females,213,12,0,0,0,0,12,0,0,0,12,1,4,5,7,11,17,16,61,22,22,34,139,57,10,17,9,12,9,..,..,..,..,5
,,Males,155,7,0,0,0,0,7,0,0,0,7,0,3,3,5,9,13,12,45,21,19,31,116,27,9,12,2,4,0,..,..,..,..,5
,,Females,58,5,0,0,0,0,5,0,0,0,5,1,1,2,2,2,4,4,16,1,3,3,23,30,1,5,7,8,9,..,..,..,..,0
,..chronic lower respiratory diseases (J40-J47),Males and females,231,0,0,0,1,0,1,1,0,1,2,0,1,0,1,1,3,3,9,13,18,32,72,156,46,34,30,25,21,..,..,..,..,1
,,Males,148,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,2,1,5,10,9,23,47,99,31,29,14,16,9,..,..,..,..,1
,,Females,83,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,4,3,9,9,25,57,15,5,16,9,12,..,..,..,..,0
,....asthma (J45-J46),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the digestive system (K00-K93),Males and females,526,1,0,0,0,0,1,0,1,1,3,1,0,2,6,18,19,27,73,38,59,69,239,284,71,65,48,59,41,..,..,..,..,0
,,Males,291,1,0,0,0,0,1,0,1,0,2,1,0,1,6,13,16,18,55,28,36,42,161,128,44,30,20,23,11,..,..,..,..,0
,,Females,235,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5,3,9,18,10,23,27,78,156,27,35,28,36,30,..,..,..,..,0
,"..ulcer of stomach, duodenum and jejunum (K25-K28)",Males and females,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,15,8,11,14,48,53,12,14,9,10,8,..,..,..,..,0
,,Males,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,11,5,9,10,35,23,5,7,3,5,3,..,..,..,..,0
,,Females,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,3,2,4,13,30,7,7,6,5,5,..,..,..,..,0
,"..chronic liver disease (K70, K73, K74)",Males and females,145,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,9,11,28,16,27,25,96,49,22,11,5,9,2,..,..,..,..,0
,,Males,87,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,6,6,19,10,16,12,57,30,14,7,3,6,0,..,..,..,..,0
,,Females,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,6,11,13,39,19,8,4,2,3,2,..,..,..,..,0
,....alcoholic liver disease (K70),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,.....cirrhosis of liver (K74),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the skin and subcutaneous tissue (L00-L99),Males and females,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,6,2,2,1,11,3,1,1,1,0,0,..,..,..,..,0
,,Males,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,5,0,0,0,0,0,0,..,..,..,..,0
,,Females,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,1,1,0,6,3,1,1,1,0,0,..,..,..,..,0
,Diseases of the musculo-skeletal system and connective tissue (M00-M99),Males and females,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,1,5,7,19,17,8,5,1,3,0,..,..,..,..,0
,,Males,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,2,9,4,3,0,1,0,0,..,..,..,..,0
,,Females,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,1,5,10,13,5,5,0,3,0,..,..,..,..,0
,"..rheumatoid arthritis and osteoarthrosis (M05-M06, M15-M19)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Diseases of the genito-urinary system (N00-N99),Males and females,244,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,6,6,28,17,17,34,96,148,39,26,28,34,21,..,..,..,..,0
,,Males,131,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,3,14,10,8,17,49,82,18,12,18,21,13,..,..,..,..,0
,,Females,113,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,2,3,14,7,9,17,47,66,21,14,10,13,8,..,..,..,..,0
,..diseases of kidney and ureter (N00-N29),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....nephritic syndromes (N00-N05),Males and females,56,0,0,0,0,0,0,0,0,0,0,2,1,3,2,2,5,2,17,7,4,12,40,16,9,1,1,3,2,..,..,..,..,0
,,Males,33,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,9,6,3,7,25,8,4,1,1,2,0,..,..,..,..,0
,,Females,23,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,8,1,1,5,15,8,5,0,0,1,2,..,..,..,..,0
,..hyperplasia of prostate (N40),Males and females,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,5,4,9,10,8,..,..,..,..,0
,,Males,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,36,5,4,9,10,8,..,..,..,..,0
,,Females,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,"Complications of pregnancy, childbirth and puerperium (O00-O99)",Males and females,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,5,0,0,0,5,0,0,0,0,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,5,0,0,0,5,0,0,0,0,0,0,..,..,..,..,0
,..pregnancy with abortive outcome (O00-O08),Males and females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,,Males,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,..,..,..,..,0
,Certain conditions originating in the perinatal period (P00-P96),Males and females,112,112,0,0,0,0,112,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,67,67,0,0,0,0,67,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,45,45,0,0,0,0,45,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,..birth trauma (P10-P15),Males and females,15,15,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Males,10,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,,Females,5,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0
,Congenital malformations and chromosomal abnormalities (Q00-Q99),Males and females,100,62,2,2,2,1,69,7,6,4,79,1,2,1,3,2,1,2,12,4,0,3,19,2,1,0,1,0,0,..,..,..,..,0
,,Males,50,30,1,1,0,1,33,3,2,3,38,1,0,1,2,2,0,2,8,2,0,1,11,1,1,0,0,0,0,..,..,..,..,0
,,Females,50,32,1,1,2,0,36,4,4,1,41,0,2,0,1,0,1,0,4,2,0,2,8,1,0,0,1,0,0,..,..,..,..,0
,"Symptoms, signs and ill-defined causes (R00-R99)",Males and females,963,3,0,0,0,0,3,0,0,0,3,2,7,3,4,11,13,5,45,8,14,16,83,870,15,9,48,278,520,..,..,..,..,7
,,Males,327,2,0,0,0,0,2,0,0,0,2,1,7,3,4,11,11,5,42,8,12,14,76,243,8,1,19,84,131,..,..,..,..,6
,,Females,636,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,3,0,2,2,7,627,7,8,29,194,389,..,..,..,..,1
,..senility (R54),Males and females,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,6,45,273,517,..,..,..,..,0
,,Males,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,1,18,82,130,..,..,..,..,0
,,Females,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,5,27,191,387,..,..,..,..,0
,..sudden infant death syndrome (R95),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,..unknown and unspecified causes (R96-R99),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,Injury and poisoning (V01-Y89),Males and females,2755,15,6,14,5,4,44,29,29,28,101,90,163,167,241,245,289,275,1470,309,266,197,2242,372,122,84,59,61,46,..,..,..,..,40
,,Males,2147,8,3,9,3,3,26,18,19,22,67,72,144,149,217,215,237,227,1261,244,210,138,1853,191,82,42,27,29,11,..,..,..,..,36
,,Females,608,7,3,5,2,1,18,11,10,6,34,18,19,18,24,30,52,48,209,65,56,59,389,181,40,42,32,32,35,..,..,..,..,4
,..accidents (V01-X59),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....transport accidents (V01-V99),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....accidental falls (W00-W19),Males and females,212,0,1,0,0,0,1,1,0,1,2,8,7,8,8,9,11,15,66,22,25,20,133,76,13,12,11,19,21,..,..,..,..,1
,,Males,138,0,0,0,0,0,0,0,0,1,1,7,6,7,8,8,10,12,58,20,23,14,115,21,6,4,1,7,3,..,..,..,..,1
,,Females,74,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,3,8,2,2,6,18,55,7,8,10,12,18,..,..,..,..,0
,....accidental drowning (W65-W74),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,"....exposure to smoke, fire and flames (X00-X09)",Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....exposure to excessive natural cold (X31),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,....accidental poisoning (X40-X49),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,......accidental poisoning by alcohol (X45),Males and females,305,0,0,0,0,0,0,0,0,0,0,0,3,4,19,32,49,46,153,51,45,26,275,24,16,7,1,0,0,..,..,..,..,6
,,Males,239,0,0,0,0,0,0,0,0,0,0,0,3,4,18,29,40,36,130,36,35,19,220,14,9,4,1,0,0,..,..,..,..,5
,,Females,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,10,23,15,10,7,55,10,7,3,0,0,0,..,..,..,..,1
,..suicide (X60-X84),Males and females,579,0,0,0,0,0,0,0,0,8,8,19,25,35,50,68,62,49,308,81,52,36,477,89,30,21,14,13,11,..,..,..,..,5
,,Males,457,0,0,0,0,0,0,0,0,7,7,15,18,32,43,61,53,42,264,59,42,26,391,54,23,10,10,9,2,..,..,..,..,5
,,Females,122,0,0,0,0,0,0,0,0,1,1,4,7,3,7,7,9,7,44,22,10,10,86,35,7,11,4,4,9,..,..,..,..,0
,..homicide (X85-Y09),Males and females,389,5,0,0,0,0,5,0,1,2,8,20,33,41,60,42,46,38,280,32,14,22,348,26,8,7,6,5,0,..,..,..,..,7
,,Males,315,2,0,0,0,0,2,0,1,1,4,14,32,38,52,38,34,32,240,28,12,12,292,13,6,3,2,2,0,..,..,..,..,6
,,Females,74,3,0,0,0,0,3,0,0,1,4,6,1,3,8,4,12,6,40,4,2,10,56,13,2,4,4,3,0,..,..,..,..,1
,..event of undermined intent (Y30-Y34),Males and females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Males,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,Females,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1994,All causes,Males and females,22212,204,15,9,12,6,246,42,43,49,338,132,266,274,401,615,834,907,3429,1215,1782,2163,8589,13170,2465,2334,2104,2935,3332,..,..,..,..,115
,,Males,11483,115,9,7,5,2,138,23,26,35,199,90,191,210,321,469,656,670,2607,880,1245,1426,6158,5025,1409,1063,862,910,781,..,..,..,..,101
,,Females,10729,89,6,2,7,4,108,19,17,14,139,42,75,64,80,146,178,237,822,335,537,737,2431,8145,1056,1271,1242,2025,2551,..,..,..,..,14
,Infectious and parasitic diseases (A00-B99),Males and females,170,8,0,0,0,0,8,0,0,0,8,0,1,2,5,10,12,19,49,18,26,22,115,47,17,13,9,5,3,..,..,..,..,0
,,Males,128,1,0,0,0,0,1,0,0,0,1,0,1,1,2,9,10,17,40,14,25,14,93,34,16,7,6,4,1,..,..,..,..,0
